;Version, 1, 0
;inv_out
;X, Y
;Re, Re
;time, V
;s, V
"0","3.011546971569968e-07"
"4.671875e-15","0.000231183974003744"
"9.34375e-15","0.0004611695581597676"
"1.7624089e-14","0.0008668719990481559"
"3.4184768e-14","0.001669840543503286"
"6.730612699999999e-14","0.003241963858579895"
"1.33548844e-13","0.006264692279521045"
"1.83735685e-13","0.008487869699014395"
"2.32589049e-13","0.01067631795167997"
"2.73834749e-13","0.01258352743491617"
"3.18729324e-13","0.01467695462325925"
"3.65686895e-13","0.01678600770208679"
"4.034574779999999e-13","0.01836972021632138"
"4.44271507e-13","0.01994513143956654"
"5.014792169999999e-13","0.02191285296033087"
"6.158946379999999e-13","0.02512845873754527"
"6.97733377e-13","0.02698395488917943"
"7.645743129999999e-13","0.02827197111171697"
"8.51107494e-13","0.0296368827306252"
"9.334974159999998e-13","0.03057037450943671"
"1e-12","0.03092365730758706"
"1.01115219e-12","0.03056840852374614"
"1.021879971e-12","0.03022766980518483"
"1.035132803e-12","0.02980869355985578"
"1.061638467e-12","0.02897783082430203"
"1.114649796e-12","0.02734416983248055"
"1.220672454e-12","0.02418358404187101"
"1.432717769e-12","0.01825078897328045"
"1.662578193e-12","0.01235408158933558"
"1.915241872e-12","0.006460953412426283"
"2.201604536e-12","0.0004329647732625347"
"2.258945738e-12","-0.001102671607152089"
"2.310079891e-12","-0.002660354348589369"
"2.347003076e-12","-0.003753297475518557"
"2.380954327e-12","-0.004734969532047195"
"2.414659601e-12","-0.005687977527372436"
"2.445440995e-12","-0.006540045496028209"
"2.473393165e-12","-0.007299082859399257"
"2.529297504e-12","-0.00877686463999874"
"2.641106182e-12","-0.01158185699956831"
"2.827519869e-12","-0.01586038507537785"
"3.020218536e-12","-0.01982778958291714"
"3.216394537e-12","-0.02346418884023271"
"3.4206563e-12","-0.02689263928659943"
"3.631779700999999e-12","-0.03012476533423156"
"3.851482218e-12","-0.03322718907014727"
"4.08102643e-12","-0.03626962114962395"
"4.315724773999999e-12","-0.0392745185678245"
"4.545937454e-12","-0.04224111472207078"
"4.766393136999999e-12","-0.04521825011747712"
"4.986382497999999e-12","-0.04839859963971672"
"5.243368019e-12","-0.05237225388492309"
"5.519887547e-12","-0.0568295770412723"
"5.793153061999999e-12","-0.06125069285261898"
"6.052545641999999e-12","-0.06534854081563544"
"6.343922995e-12","-0.06976200094849892"
"6.715030915999999e-12","-0.07501691989212303"
"7.162531333999999e-12","-0.08067916240441729"
"7.621169776999999e-12","-0.08553913626579623"
"8.068186543e-12","-0.08920265024948965"
"8.535807565e-12","-0.09179706273508011"
"9.035807565e-12","-0.09309365401607858"
"9.535807565e-12","-0.09269192988210476"
"1.0035807565e-11","-0.09026319820912529"
"1.0467922562e-11","-0.086260726740926"
"1.0879827313e-11","-0.08057856686333988"
"1.1295890881e-11","-0.07279584454970302"
"1.1726417119e-11","-0.06236923898445562"
"1.2153626132e-11","-0.04948663372740639"
"1.2492295386e-11","-0.03729895683223425"
"1.2845229781e-11","-0.02274117441638681"
"1.3220100315e-11","-0.005384526705894247"
"1.3608188647e-11","0.01429325783714373"
"1.3933143854e-11","0.031953313440239"
"1.4296650074e-11","0.05277376105427168"
"1.4658204872e-11","0.0744266649419813"
"1.504202694e-11","0.09827625098921905"
"1.5459031192e-11","0.1250108601496872"
