;Version, 1, 0
;(gamma = (in2 / (4 * kB * 300 * gm)))
;X, Y
;Re, Re
;freq, V/sqrt(Hz)
;Hz, yunit
"1000","3194.582882483609"
"1584.893192461114","2015.954442540435"
"2511.88643150958","1272.290171945058"
"3981.071705534973","803.0697385853989"
"6309.573444801933","507.0116599769427"
"10000","320.2116408862429"
"15848.93192461114","202.3487968919256"
"25118.86431509581","127.9823698323879"
"39810.71705534974","81.06032649642195"
"63095.73444801936","51.45451863557634"
"100000.0000000001","32.77451672650639"
"158489.3192461114","20.98823232707467"
"251188.6431509582","13.5515896211209"
"398107.1705534976","8.859385287524317"
"630957.3444801938","5.898804501439757"
"1000000.000000001","4.030804310532762"
"1584893.192461115","2.852175870589589"
"2511886.431509583","2.108511599994213"
"3981071.705534977","1.639291166634553"
"6309573.44480194","1.343233088026098"
"10000000.00000001","1.156433068935398"
"15848931.92461115","1.038570224941081"
"25118864.31509583","0.9642037978815435"
"39810717.05534977","0.9172817545455776"
"63095734.44801941","0.8876759466847318"
"100000000.0000001","0.8689959447756618"
"158489319.2461116","0.8572096603762304"
"251188643.1509584","0.8497730176702768"
"398107170.5534979","0.8450808133366799"
"630957344.4801942","0.8421202325505954"
"1000000000.000002","0.8402522323596883"
"1584893192.461116","0.8390736039197453"
"2511886431.509584","0.8383299396491498"
"3981071705.53498","0.8378607192157903"
"6309573444.801945","0.8375646611371816"
"10000000000.00002","0.8373778611180911"
"15848931924.61117","0.8372599982740968"
"25118864315.09586","0.8371856318470373"
"39810717055.34982","0.8371387098037014"
"63095734448.01949","0.8371091039958403"
"100000000000.0003","0.8370904239939315"
"158489319246.1118","0.8370786377095319"
"251188643150.9587","0.837071201066826"
"398107170553.4984","0.8370665088624922"
"630957344480.1952","0.8370635482817065"
"1000000000000.003","0.8370616802815153"
"1584893192461.119","0.8370605016530753"
"2511886431509.588","0.8370597579888046"
"3981071705534.986","0.8370592887683712"
"6309573444801.954","0.8370589927102927"
"10000000000000","0.8370588059102736"
